-1,243388
-0,4046012
5,838126
13,26628
16,58562
13,46079
5,647235
-3,560898
-12,84524
-23,55243
-36,37524
-47,04106
-45,96355
-24,18328
17,70957
64,98089
94,13715
86,85056
43,49012
-14,30165
-55,87333
-61,62834
-36,80141
-7,880183
-2,664442
-27,73249
-60,66885
-64,92101
-18,45502
64,44724
136,2425
145,3378
73,20374
-46,93473
-145,6448
-159,8565
-75,39421
59,77447
162,6201
166,6176
64,707
-84,76662
-193,6049
-198,0546
-97,00722
49,68626
160,1487
180,2577
112,4651
7,479766
-72,28403
-91,37283
-57,42825
-7,691072
20,91069
15,81349
-8,133144
-25,1849
-19,96152
2,551446
23,84929
28,08923
14,15046
-5,112586
-14,37204
-8,029902
6,423371
15,65139
11,66143
-2,201935
-14,75336
-16,43922
-6,833591
5,643864
11,02113
5,807067
-4,67698
-11,16071
-8,154403
1,809553
10,62163
11,39854
3,955753
-5,373445
-9,14079
-4,809921
3,465409
8,537589
6,20318
-1,505636
-8,215425
-8,541871
-2,410043
5,083282
7,97688
4,279737
-2,59251
-6,809205
-4,956561
1,270249
6,619202
6,671593
1,414202
-4,876142
-7,221952
-3,986584
1,922581
5,573388
4,087873
-1,079961
-5,463488
-5,320647
-0,6797501
4,764435
6,733714
3,841557
-1,374246
-4,633113
-3,444979
0,9164289
4,565654
4,263257
0,07038906
-4,750327
-6,442784
-3,807762
0,8956892
3,879822
2,948438
-0,7638882
-3,819481
-3,369273
0,495415
4,84235
6,31916
3,873719
-0,4499828
-3,248196
-2,554992
0,6049924
3,150156
2,546364
-1,083276
-5,063083
-6,360966
-4,045489
0,006684227
2,696966
2,244624
-0,4138452
-2,487651
-1,706506
1,768474
5,460381
6,595723
4,347088
0,4628111
-2,203234
-2,022427
0,1397034
1,736182
0,7284646
-2,670807
-6,132938
-7,095195
-4,826403
-0,9831727
1,775198
1,947445
0,3427047
-0,7039807
0,6254636
4,037373
7,297057
8,013144
5,555844
1,534345
-1,538736
-2,271968
-1,431894
-1,152051
-2,997511
-6,512899
-9,470308
-9,614876
-6,461428
-1,657949
2,370278
4,346262
5,011163
6,200628
8,910963
12,02702
12,88287
9,321857
1,640228
-7,195311
-13,34176
-14,57709
-11,61252
-7,247466
-4,085452
-2,645035
-1,346795
1,681831
6,531063
10,94823
11,864
7,872686
0,6981193
-5,611664
-7,298774
-3,460337
3,292791
8,551111
8,955607
4,195019
-3,112769
-9,347326
-12,10485
-11,20365
-8,061982
-4,269292
-0,596116
2,920952
6,204514
8,601789
9,177199
7,5628
4,521542
1,597889
0,04498293
-0,09883058
0,02448459
-0,8894026
-3,125628
-5,603813
-6,700139
-5,59577
-3,036654
-0,8322315
-0,4390822
-1,745972
-3,060458
-2,367711
1,076861
6,042983
10,05967
11,04332
8,614719
4,178159
-0,1934048
-3,141284
-4,633281
-5,466619
-6,232184
-6,68778
-6,058021
-3,937424
-0,9410271
1,535691
2,313725
1,380202
-0,01576127
-0,2545226
1,438795
4,388251
6,928793
7,564505
5,935406
2,901135
-0,2256175
-2,612559
-4,265385
-5,612183
-6,784958
-7,295538
-6,416202
-3,924971
-0,5287818
2,464868
4,014119
4,054255
3,461808
3,284327
3,858436
4,540044
4,271398
2,518529
-0,1983348
-2,629015
-3,718188
-3,381005
-2,499834
-2,150509
-2,697556
-3,502401
-3,481114
-2,047328
0,3411818
2,486958
3,362771
2,884461
1,918736
1,527645
2,076821
2,941725
3,049355
1,803342
-0,3740397
-2,332023
-3,077148
-2,529914
-1,53672
-1,135556
-1,68569
-2,57829
-2,761876
-1,643924
0,3781772
2,195837
2,849374
2,264705
1,266723
0,8663598
1,413971
2,31667
2,54814
1,52537
-0,3736665
-2,078977
-2,663252
-2,057701
-1,065697
-0,6705571
-1,212904
-2,115529
-2,378343
-1,430359
0,366565
1,978046
2,507362
1,890649
0,9102275
0,5222465
1,057472
1,953896
2,23759
1,350664
-0,3589239
-1,889819
-2,374068
-1,752305
-0,7864993
-0,4065055
-0,933424
-1,81987
-2,117484
-1,28181
0,3514747
1,811782
2,258178
1,635382
0,6858138
0,314093
0,8319872
1,706119
2,012846
1,221102
-0,3444728
-1,742043
-2,156054
-1,534939
-0,6024042
-0,2389593
-0,7474318
-1,607828
-1,920255
-1,166781
0,3379917
1,679173
2,065069
1,447497
0,532286
0,176967
0,6758383
1,521676
1,837328
1,117628
-0,3320349
-1,622078
-1,983273
-1,370525
-0,4726114
-0,1251849
-0,6144243
-1,445281
-1,762336
-1,072755
0,3265797
1,569908
1,909178
1,302132
0,4212874
0,08147562
0,5611536
1,376877
1,693975
1,03149
-0,3215961
-1,521987
-1,841629
-1,240874
-0,3767395
-0,04424308
-0,5144979
-1,31512
-1,63124
-0,99331
0,3170537
1,477776
1,77971
1,185624
0,3377591
0,01227068
0,4732857
1,258964
1,573333
0,9577951
-0,3129245
-1,43683
-1,72268
-1,135489
-0,3034028
0,01538503
-0,4366017
-1,207579
-1,519611
-0,9246035
0,3091846
1,398785
1,669936
1,089748
0,272923
-0,03946679
0,40372
1,160295
1,469545
0,89345
-0,3058134
-1,363335
-1,620978
-1,047815
-0,2457197
0,06056707
-0,3740558
-1,116562
-1,422693
-0,8640935
0,3027946
1,330221
1,575385
1,009207
0,2213059
-0,07916397
0,3471324
1,075921
1,378681
0,8363264
-0,3001152
-1,299222
-1,532803
-0,9735203
-0,1992825
0,09564727
-0,3225564
-1,037989
-1,337188
-0,8099675
0,2977656
1,270152
1,492929
0,940416
0,1793198
-0,1103377
0,299999
1,002435
1,297931
0,7848563
-0,29574
-1,242845
-1,455503
-0,9096079
-0,1611435
0,123501
-0,2791827
-0,9689735
-1,260664
-0,7608472
0,2940359
1,217162
1,420302
0,8808523
0,1445246
-0,1353592
0,2598704
0,9373536
1,225162
0,7378067
-0,2926546
-1,192978
-1,387129
-0,8539417
-0,1292718
0,1460984
-0,2418566
-0,9073493
-1,191219
-0,7156086
0,2916018
1,170187
1,355815
0,8286995
0,1152256
-0,1558749
